pairId	DepthList	WidthList	Sent1SelfNum	Sent2SelfNum	InterSectNum
323	1|1|1|1|2|1|1|2|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|3|2|2|2|3|2|2|3|2|2|2|3|2|2|3|2|2|2|3|2|2|3|2|2|2|3|2|2|3|2|2|2|3|2|2|3|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|3|2|2|2|3|2|2|3|2|2|2|3|2|2|3|2|1|1|3|2|2|3|2|1|1|3|2|2|3|2|1|1|3|2|2|3|2|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|3|2|2|2|3|2|2|3|2|2|2|3|2|2|3|2|1|1|3|2|2|3|2|1|1|3|2|2|3|2|1|1|3|2|2|3|2|1|2|2|2|1	2|1|1|1|2|2|1|1|1|1|6|6|5|5|5|5|4|5|5|4|4|4|4|3|5|5|4|4|4|4|3|4|4|3|3|3|3|2|5|5|4|4|4|4|3|4|4|3|3|3|3|2|5|5|4|4|4|4|3|4|4|3|3|3|3|2|5|5|4|4|4|4|3|4|4|3|3|3|3|2|4|4|3|3|3|3|2|3|3|2|2|2|2|1|6|6|5|5|5|5|4|5|5|4|4|4|4|3|5|5|4|4|4|4|3|4|4|3|3|3|3|2|5|5|4|4|4|4|3|4|4|3|3|3|3|2|5|5|4|4|4|4|3|4|4|3|3|3|3|2|5|5|4|4|4|4|3|4|4|3|3|3|3|2|4|4|3|3|3|3|2|3|3|2|2|2|2|1|5|5|4|4|4|4|3|4|4|3|3|3|3|2|4|4|3|3|3|3|2|3|3|2|2|2|2|1|4|4|3|3|3|3|2|3|3|2|2|2|2|1|4|4|3|3|3|3|2|3|3|2|2|2|2|1|4|4|3|3|3|3|2|3|3|2|2|2|2|1|3|3|2|2|2|2|1|2|2|1|1|1|1|2|1|1|1	572.0	418.0	265.0
327	1	1	572.0	36.0	1.0
329	1	1	418.0	43.0	1.0
331	2|1|1|2|1|1|3|2|2|3|2|1	2|2|1|1|1|1|2|2|1|1|1|1	36.0	36.0	12.0
332	2|1|1|2|1|1|3|3|2|2|2|2|3|3|2|2|1|1|1	2|2|1|1|1|1|3|2|3|2|2|1|2|1|2|1|2|1|1	36.0	36.0	19.0
333	3|2|1|1|3|2|1|1|2|1	2|2|2|1|1|1|1|1|1|1	335.0	27.0	10.0
335	1	1	36.0	27.0	1.0
338			335.0	36.0	0.0
339	1	1	335.0	36.0	1.0
340	1|1|1|3|3|3|2|1|2|2|2|1|1|1|1|2|2|2|1	2|1|1|2|1|1|1|1|2|1|1|1|2|1|1|2|1|1|1	102.0	102.0	19.0
341	1|1|1|1|1|1|2|2|2|1|3|3|3|2|1|2|2|2|1|4|4|4|3|2|1	2|1|1|2|1|1|2|1|1|1|2|1|1|1|1|2|1|1|1|2|1|1|1|1|1	210.0	102.0	25.0
342	1	1	102.0	114.0	1.0
344	1|1|1|1|4|4|4|4|4|4|4|4|4|4|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|4|4|4|4|4|4|4|4|4|4|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|4|4|4|4|4|4|4|4|4|4|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|4|4|4|4|4|4|4|4|4|4|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|1|1|2|2|2|1|1|2|2|2|1|1|2|2|2|1|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|2|1	1|2|1|1|6|5|5|5|4|5|4|4|4|3|6|5|5|5|4|5|4|4|4|3|6|5|5|5|4|5|4|4|4|3|5|4|4|4|3|4|3|3|3|2|5|4|4|4|3|4|3|3|3|2|5|4|4|4|3|4|3|3|3|2|5|4|4|4|3|4|3|3|3|2|4|3|3|3|2|3|2|2|2|1|5|4|4|4|3|4|3|3|3|2|5|4|4|4|3|4|3|3|3|2|5|4|4|4|3|4|3|3|3|2|4|3|3|3|2|3|2|2|2|1|4|3|3|3|2|3|2|2|2|1|4|3|3|3|2|3|2|2|2|1|4|3|3|3|2|3|2|2|2|1|4|3|3|3|2|3|2|2|2|1|3|2|2|2|1|2|1|1|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1|1|1	360.0	190.0	190.0
346	1|1|1	2|1|1	102.0	360.0	3.0
347	1|1|1	2|1|1	102.0	190.0	3.0
351	1|2|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1|1|2|1	1|1|1|1|1|5|5|4|4|4|3|4|4|3|3|3|2|4|4|3|3|3|2|3|3|2|2|2|1|5|5|4|4|4|3|4|4|3|3|3|2|4|4|3|3|3|2|3|3|2|2|2|1|4|4|3|3|3|2|3|3|2|2|2|1|3|3|2|2|2|1|2|2|1|1|1	483.0	694.0	76.0
354	1|2|1|1|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	1|1|1|1|4|3|3|2|3|2|2|1|4|3|3|2|3|2|2|1|3|2|2|1|2|1|1	226.0	226.0	27.0
358			694.0	226.0	0.0
360			226.0	379.0	0.0
361			483.0	226.0	0.0
362	2|2|2|1|1|1|1|1|1|1|3|3|3|2|2|2|3|3|3|2|2|2|3|3|3|2|2|2|3|3|3|2|2|2|3|3|3|2|2|2|3|3|3|2|2|2|3|3|3|2|1|1|3|3|3|2|1|1|3|3|3|2|1|1|3|3|3|2|1	2|1|1|1|2|1|1|2|1|1|5|4|4|4|4|3|4|3|3|3|3|2|4|3|3|3|3|2|3|2|2|2|2|1|4|3|3|3|3|2|3|2|2|2|2|1|4|3|3|3|3|2|3|2|2|2|2|1|3|2|2|2|2|1|2|1|1|1|1	121.0	69.0	69.0
363	2|2|2|1|1|1|1|1|1|1|3|3|3|2|2|2|3|3|3|2|2|2|3|3|3|2|2|2|3|3|3|2|2|2|3|3|3|2|2|2|3|3|3|2|2|2|3|3|3|2|1|1|3|3|3|2|1|1|3|3|3|2|1|1|3|3|3|2|1	2|1|1|1|2|1|1|2|1|1|5|4|4|4|4|3|4|3|3|3|3|2|4|3|3|3|3|2|3|2|2|2|2|1|4|3|3|3|3|2|3|2|2|2|2|1|4|3|3|3|3|2|3|2|2|2|2|1|3|2|2|2|2|1|2|1|1|1|1	129.0	69.0	69.0
366			279.0	69.0	0.0
367			69.0	171.0	0.0
370			69.0	126.0	0.0
372	1|1|2|1|3|3|3|3|3|3|3|3|3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|2|1	1|1|1|1|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1|1|1	198.0	235.0	37.0
373	1|2|1|1	1|1|1|1	459.0	291.0	4.0
374	3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|3|3|2|2|2|2|2|2|3|3|2|2|2|2|2|2|3|3|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|3|3|2|2|2|2|2|2|3|3|2|2|1|1|1|1|3|3|2|2|1|1|1|1|3|3|2|2|1|1|1|1|3|3|2|2|1|1|1|2|1|1|1|2|1|1|2|1|1	5|4|5|4|5|4|4|3|4|3|4|3|4|3|3|2|5|4|5|4|5|4|4|3|4|3|4|3|4|3|3|2|4|3|4|3|4|3|3|2|3|2|3|2|3|2|2|1|4|3|4|3|4|3|3|2|3|2|3|2|3|2|2|1|4|3|4|3|4|3|3|2|3|2|3|2|3|2|2|1|4|3|4|3|4|3|3|2|3|2|3|2|3|2|2|1|3|2|3|2|3|2|2|1|2|1|2|1|2|1|1|1|1|1|1|2|2|1|1|1|1	459.0	1026.0	121.0
375	1|1|2|1|1|2|1|1	1|1|2|2|1|1|1|1	177.0	459.0	8.0
377	1	1	198.0	1026.0	1.0
378	1	1	177.0	198.0	1.0
379	1	1	198.0	459.0	1.0
380			459.0	235.0	0.0
381	1	1	459.0	198.0	1.0
387	3|2|2|2|3|2|2|2|3|2|1|1|3|2|1|1|3|2|1|1|3|2|1|1|2|1|1	3|3|3|2|2|2|2|1|3|3|3|2|2|2|2|1|2|2|2|1|1|1|1|1|1|1|1	150.0	297.0	27.0
390	1|1|1|3|3|3|2|2|2|3|3|3|2|2|2|3|3|3|2|1|1|3|3|3|2|1|1|3|3|3|2|1|1|3|3|3|2|1|2|2|2|1|1	2|1|1|4|3|3|3|3|2|3|2|2|2|2|1|4|3|3|3|3|2|3|2|2|2|2|1|3|2|2|2|2|1|2|1|1|1|1|2|1|1|1|1	297.0	150.0	43.0
391	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|1|1	1|4|3|3|2|3|2|2|1|3|2|2|1|2|1|1|4|3|3|2|3|2|2|1|3|2|2|1|2|1|1|1|6|5|5|4|5|4|4|3|5|4|4|3|4|3|3|3|3|2|5|4|4|3|4|3|3|2|4|3|3|2|3|2|2|2|2|1|5|4|4|3|4|3|3|2|4|3|3|2|3|2|2|2|2|1|4|3|3|2|3|2|2|1|3|2|2|1|2|1|1|1|1|1	984.0	14130.0	104.0
